,Species,gene,dN,dS,dN/dS
39,Sus_scrofa,ENSG00000007923_DNAJC11,0.007984,0.229910,0.0347281
40,Hipposideros_armiger,ENSG00000007923_DNAJC11,0.004080,0.095507,0.0427226
41,Rhinolophus_sinicus,ENSG00000007923_DNAJC11,0.001710,0.049752,0.0343779
42,Pteropus_vampyrus,ENSG00000007923_DNAJC11,0.000001,0.008363,0.0001
43,Pteropus_alecto,ENSG00000007923_DNAJC11,0.000001,0.007097,0.0001
44,Rousettus_aegyptiacus,ENSG00000007923_DNAJC11,0.000014,0.137095,0.0001
45,Eptesicus_fuscus,ENSG00000007923_DNAJC11,0.002483,0.075438,0.0329128
46,Myotis_brandtii,ENSG00000007923_DNAJC11,0.000001,0.013946,0.0001
47,Myotis_lucifugus,ENSG00000007923_DNAJC11,0.000001,0.010057,0.0001
48,Myotis_davidii,ENSG00000007923_DNAJC11,0.005673,0.045595,0.124412
49,Miniopterus_natalensis,ENSG00000007923_DNAJC11,0.003441,0.134886,0.0255141
50,Oryctolagus_cuniculus,ENSG00000007923_DNAJC11,0.008641,0.150524,0.0574036
51,Ochotona_princeps,ENSG00000007923_DNAJC11,0.001439,0.389408,0.00369471
52,Heterocephalus_glaber,ENSG00000007923_DNAJC11,0.008783,0.060323,0.145598
53,Fukomys_damarensis,ENSG00000007923_DNAJC11,0.005626,0.135356,0.0415645
54,Cavia_porcellus,ENSG00000007923_DNAJC11,0.000000,0.001012,0.0001
55,Cavia_aperea,ENSG00000007923_DNAJC11,0.000002,0.023222,0.0001
56,Octodon_degus,ENSG00000007923_DNAJC11,0.003640,0.237127,0.0153515
57,Chinchilla_lanigera,ENSG00000007923_DNAJC11,0.003686,0.105220,0.0350317
58,Rattus_norvegicus,ENSG00000007923_DNAJC11,0.004870,0.132479,0.0367575
59,Mus_musculus,ENSG00000007923_DNAJC11,0.000808,0.010930,0.0739232
60,Mus_spretus,ENSG00000007923_DNAJC11,0.000001,0.013715,0.0001
61,Mus_caroli,ENSG00000007923_DNAJC11,0.001621,0.030134,0.0537809
62,Mus_pahari,ENSG00000007923_DNAJC11,0.000811,0.051437,0.0157606
63,Meriones_unguiculatus,ENSG00000007923_DNAJC11,0.003283,0.098329,0.0333879
64,Mesocricetus_auratus,ENSG00000007923_DNAJC11,0.008065,0.096548,0.0835334
65,Cricetulus_griseus,ENSG00000007923_DNAJC11,0.005771,0.081988,0.0703859
66,Microtus_ochrogaster,ENSG00000007923_DNAJC11,0.000812,0.099696,0.00814889
67,Peromyscus_maniculatus,ENSG00000007923_DNAJC11,0.001647,0.145782,0.0112969
68,Nannospalax_galili,ENSG00000007923_DNAJC11,0.003763,0.172678,0.02179
69,Jaculus_jaculus,ENSG00000007923_DNAJC11,0.001414,0.175081,0.00807616
70,Dipodomys_ordii,ENSG00000007923_DNAJC11,0.007634,0.407297,0.018744
71,Castor_canadensis,ENSG00000007923_DNAJC11,0.003349,0.125495,0.026686
72,Ictidomys_tridecemlineatus,ENSG00000007923_DNAJC11,0.000951,0.015922,0.0597038
73,Marmota_marmota,ENSG00000007923_DNAJC11,0.000865,0.022069,0.0391827
74,Otolemur_garnettii,ENSG00000007923_DNAJC11,0.002456,0.163032,0.0150627
75,Propithecus_coquereli,ENSG00000007923_DNAJC11,0.002501,0.037247,0.0671575
76,Microcebus_murinus,ENSG00000007923_DNAJC11,0.005591,0.044511,0.12562
77,Callithrix_jacchus,ENSG00000007923_DNAJC11,0.002478,0.033413,0.0741665
78,Aotus_nancymaae,ENSG00000007923_DNAJC11,0.000852,0.042232,0.0201631
79,Saimiri_boliviensis,ENSG00000007923_DNAJC11,0.000003,0.034860,0.0001
80,Cebus_capucinus,ENSG00000007923_DNAJC11,0.000823,0.028638,0.0287461
81,Mandrillus_leucophaeus,ENSG00000007923_DNAJC11,0.000002,0.018229,0.0001
82,Cercocebus_atys,ENSG00000007923_DNAJC11,0.000002,0.019193,0.0001
83,Papio_anubis,ENSG00000007923_DNAJC11,0.000000,0.004757,0.0001
84,Macaca_mulatta,ENSG00000007923_DNAJC11,0.000002,0.000000,4.50117
85,Macaca_fascicularis,ENSG00000007923_DNAJC11,0.000001,0.007136,0.0001
86,Macaca_nemestrina,ENSG00000007923_DNAJC11,0.000001,0.009539,0.0001
87,Chlorocebus_sabaeus,ENSG00000007923_DNAJC11,0.000002,0.019214,0.0001
88,Piliocolobus_tephrosceles,ENSG00000007923_DNAJC11,0.001190,0.017389,0.0684569
89,Nomascus_leucogenys,ENSG00000007923_DNAJC11,0.000836,0.019524,0.04283
90,Gorilla_gorilla,ENSG00000007923_DNAJC11,0.000840,0.012055,0.0696846
91,Pan_troglodytes,ENSG00000007923_DNAJC11,0.000001,0.007129,0.0001
92,Pan_paniscus,ENSG00000007923_DNAJC11,0.000002,0.000000,4.57718
93,Homo_sapiens,ENSG00000007923_DNAJC11,0.000828,0.007117,0.116404
94,Pongo_abelii,ENSG00000007923_DNAJC11,0.000828,0.026459,0.0312928
95,Galeopterus_variegatus,ENSG00000007923_DNAJC11,0.003432,0.148904,0.0230465
96,Tupaia_belangeri,ENSG00000007923_DNAJC11,0.005211,0.196071,0.0265781
97,Dasypus_novemcinctus,ENSG00000007923_DNAJC11,0.011719,0.150699,0.0777616
98,Choloepus_hoffmanni,ENSG00000007923_DNAJC11,0.003174,0.166920,0.0190121
99,Trichechus_manatus,ENSG00000007923_DNAJC11,0.002443,0.089770,0.0272189
100,Procavia_capensis,ENSG00000007923_DNAJC11,0.008838,0.201221,0.0439197
101,Loxodonta_africana,ENSG00000007923_DNAJC11,0.000009,0.094500,0.0001
102,Echinops_telfairi,ENSG00000007923_DNAJC11,0.010317,0.317926,0.0324501
103,Chrysochloris_asiatica,ENSG00000007923_DNAJC11,0.001692,0.183955,0.00919957
104,Elephantulus_edwardii,ENSG00000007923_DNAJC11,0.002504,0.193277,0.0129579
105,Orycteropus_afer,ENSG00000007923_DNAJC11,0.000012,0.122997,0.0001
106,Phascolarctos_cinereus,ENSG00000069345_DNAJA2,0.005619,0.308503,0.0182134
107,Erinaceus_europaeus,ENSG00000069345_DNAJA2,0.001246,0.125893,0.00990117
108,Sorex_araneus,ENSG00000069345_DNAJA2,0.000017,0.172109,0.0001
109,Condylura_cristata,ENSG00000069345_DNAJA2,0.000434,0.164044,0.00264737
110,Panthera_tigris,ENSG00000069345_DNAJA2,0.000002,0.000001,2.19605
111,Panthera_pardus,ENSG00000069345_DNAJA2,0.000002,0.000001,1.74177
112,Felis_catus,ENSG00000069345_DNAJA2,0.000001,0.000001,1.5408
113,Acinonyx_jubatus,ENSG00000069345_DNAJA2,0.000002,0.000001,2.22336
114,Enhydra_lutris,ENSG00000069345_DNAJA2,0.000001,0.011509,0.0001
115,Mustela_putorius,ENSG00000069345_DNAJA2,0.000002,0.019642,0.0001
116,Odobenus_rosmarus,ENSG00000069345_DNAJA2,0.003322,0.022270,0.149187
117,Leptonychotes_weddellii,ENSG00000069345_DNAJA2,0.000001,0.012536,0.0001
118,Ailuropoda_melanoleuca,ENSG00000069345_DNAJA2,0.000001,0.009236,0.0001
119,Ursus_maritimus,ENSG00000069345_DNAJA2,0.001167,0.037529,0.0310845
120,Manis_javanica,ENSG00000069345_DNAJA2,0.003313,0.068374,0.0484579
121,Equus_caballus,ENSG00000069345_DNAJA2,0.000192,0.000001,135.034
122,Equus_przewalskii,ENSG00000069345_DNAJA2,0.000002,0.000001,1.99472
123,Equus_asinus,ENSG00000069345_DNAJA2,0.000002,0.000000,3.82449
124,Ceratotherium_simum,ENSG00000069345_DNAJA2,0.001125,0.047666,0.0235938
125,Vicugna_pacos,ENSG00000069345_DNAJA2,0.001318,0.007619,0.172933
126,Camelus_dromedarius,ENSG00000069345_DNAJA2,0.001105,0.000001,999
127,Camelus_ferus,ENSG00000069345_DNAJA2,0.000002,0.000001,2.25758
128,Camelus_bactrianus,ENSG00000069345_DNAJA2,0.001103,0.000001,999
129,Balaenoptera_acutorostrata,ENSG00000069345_DNAJA2,0.001107,0.015331,0.0721993
130,Physeter_catodon,ENSG00000069345_DNAJA2,0.000001,0.006084,0.0001
131,Lipotes_vexillifer,ENSG00000069345_DNAJA2,0.000002,0.018472,0.0001
132,Delphinapterus_leucas,ENSG00000069345_DNAJA2,0.000001,0.009160,0.0001
133,Tursiops_truncatus,ENSG00000069345_DNAJA2,0.003812,0.000004,999
134,Orcinus_orca,ENSG00000069345_DNAJA2,0.000000,0.004600,0.0001
135,Bubalus_bubalis,ENSG00000069345_DNAJA2,0.000002,0.015326,0.0001
136,Bos_taurus,ENSG00000069345_DNAJA2,0.000000,0.000005,0.0001
137,Bos_indicus,ENSG00000069345_DNAJA2,0.000002,0.000001,2.33706
138,Bos_mutus,ENSG00000069345_DNAJA2,0.000001,0.009915,0.0001
139,Bison_bison,ENSG00000069345_DNAJA2,0.000001,0.010861,0.0001
140,Capra_hircus,ENSG00000069345_DNAJA2,0.000002,0.022107,0.0001
141,Ovis_aries,ENSG00000069345_DNAJA2,0.000001,0.006358,0.0001
142,Pantholops_hodgsonii,ENSG00000069345_DNAJA2,0.001167,0.035121,0.0332279
143,Odocoileus_virginianus,ENSG00000069345_DNAJA2,0.000004,0.036016,0.0001
144,Sus_scrofa,ENSG00000069345_DNAJA2,0.001105,0.061165,0.0180623
145,Hipposideros_armiger,ENSG00000069345_DNAJA2,0.008166,0.035786,0.228185
146,Rhinolophus_sinicus,ENSG00000069345_DNAJA2,0.000008,0.081206,0.0001
147,Pteropus_vampyrus,ENSG00000069345_DNAJA2,0.000001,0.014961,0.0001
148,Pteropus_alecto,ENSG00000069345_DNAJA2,0.000001,0.005356,0.0001
149,Rousettus_aegyptiacus,ENSG00000069345_DNAJA2,0.001148,0.061751,0.0185957
150,Eptesicus_fuscus,ENSG00000069345_DNAJA2,0.002799,0.060081,0.0465905
151,Myotis_brandtii,ENSG00000069345_DNAJA2,0.000001,0.011027,0.0001
152,Myotis_lucifugus,ENSG00000069345_DNAJA2,0.000001,0.006927,0.0001
153,Myotis_davidii,ENSG00000069345_DNAJA2,0.009465,0.078255,0.120951
154,Miniopterus_natalensis,ENSG00000069345_DNAJA2,0.000004,0.039799,0.0001
155,Oryctolagus_cuniculus,ENSG00000069345_DNAJA2,0.000039,0.088761,0.000439918
156,Ochotona_princeps,ENSG00000069345_DNAJA2,0.007275,0.289109,0.0251625
157,Heterocephalus_glaber,ENSG00000069345_DNAJA2,0.002199,0.045833,0.0479769
158,Fukomys_damarensis,ENSG00000069345_DNAJA2,0.000005,0.048307,0.0001
159,Rattus_norvegicus,ENSG00000069345_DNAJA2,0.000011,0.108577,0.0001
160,Mus_musculus,ENSG00000069345_DNAJA2,0.000001,0.006088,0.0001
161,Mus_spretus,ENSG00000069345_DNAJA2,0.000001,0.006125,0.0001
162,Mus_caroli,ENSG00000069345_DNAJA2,0.000003,0.034180,0.0001
163,Mus_pahari,ENSG00000069345_DNAJA2,0.000004,0.040552,0.0001
164,Meriones_unguiculatus,ENSG00000069345_DNAJA2,0.001102,0.052810,0.0208645
165,Mesocricetus_auratus,ENSG00000069345_DNAJA2,0.002214,0.050527,0.0438128
166,Cricetulus_griseus,ENSG00000069345_DNAJA2,0.000007,0.073603,0.0001
167,Peromyscus_maniculatus,ENSG00000069345_DNAJA2,0.000012,0.119710,0.0001
168,Nannospalax_galili,ENSG00000069345_DNAJA2,0.007764,0.157885,0.0491776
169,Dipodomys_ordii,ENSG00000069345_DNAJA2,0.002950,0.093540,0.0315383
170,Castor_canadensis,ENSG00000069345_DNAJA2,0.002564,0.088677,0.0289178
171,Ictidomys_tridecemlineatus,ENSG00000069345_DNAJA2,0.000001,0.010313,0.0001
172,Marmota_marmota,ENSG00000069345_DNAJA2,0.000000,0.004851,0.0001
173,Otolemur_garnettii,ENSG00000069345_DNAJA2,0.001110,0.162863,0.00681488
174,Propithecus_coquereli,ENSG00000069345_DNAJA2,0.001108,0.151629,0.00730802
175,Microcebus_murinus,ENSG00000069345_DNAJA2,0.000006,0.056973,0.0001
176,Callithrix_jacchus,ENSG00000069345_DNAJA2,0.000005,0.047356,0.0001
177,Aotus_nancymaae,ENSG00000069345_DNAJA2,0.000001,0.006077,0.0001
178,Saimiri_boliviensis,ENSG00000069345_DNAJA2,0.000002,0.021664,0.0001
179,Cebus_capucinus,ENSG00000069345_DNAJA2,0.000001,0.012423,0.0001
180,Mandrillus_leucophaeus,ENSG00000069345_DNAJA2,0.000001,0.000001,1.63428
181,Cercocebus_atys,ENSG00000069345_DNAJA2,0.000002,0.000001,2.41545
182,Papio_anubis,ENSG00000069345_DNAJA2,0.000002,0.000001,1.99347
183,Macaca_fascicularis,ENSG00000069345_DNAJA2,0.000002,0.000001,1.74255
184,Macaca_nemestrina,ENSG00000069345_DNAJA2,0.000000,0.003045,0.0001
185,Rhinopithecus_roxellana,ENSG00000069345_DNAJA2,0.000000,0.003043,0.0001
186,Rhinopithecus_bieti,ENSG00000069345_DNAJA2,0.000001,0.000001,1.66444
187,Piliocolobus_tephrosceles,ENSG00000069345_DNAJA2,0.000001,0.006102,0.0001
188,Colobus_angolensis,ENSG00000069345_DNAJA2,0.000001,0.006099,0.0001
189,Nomascus_leucogenys,ENSG00000069345_DNAJA2,0.000001,0.009148,0.0001
190,Gorilla_gorilla,ENSG00000069345_DNAJA2,0.000000,0.003038,0.0001
191,Pan_troglodytes,ENSG00000069345_DNAJA2,0.000001,0.000001,1.56978
192,Pan_paniscus,ENSG00000069345_DNAJA2,0.000001,0.000001,1.617
193,Homo_sapiens,ENSG00000069345_DNAJA2,0.000001,0.006095,0.0001
194,Pongo_abelii,ENSG00000069345_DNAJA2,0.000001,0.009162,0.0001
195,Carlito_syrichta,ENSG00000069345_DNAJA2,0.018886,0.088523,0.213343
196,Galeopterus_variegatus,ENSG00000069345_DNAJA2,0.002199,0.051229,0.0429282
197,Tupaia_belangeri,ENSG00000069345_DNAJA2,0.000010,0.104232,0.0001
198,Dasypus_novemcinctus,ENSG00000069345_DNAJA2,0.021425,0.076931,0.278494
199,Choloepus_hoffmanni,ENSG00000069345_DNAJA2,0.002221,0.065719,0.0337894
200,Trichechus_manatus,ENSG00000069345_DNAJA2,0.005726,0.161579,0.0354402
201,Loxodonta_africana,ENSG00000069345_DNAJA2,0.001195,0.190311,0.00627838
202,Echinops_telfairi,ENSG00000069345_DNAJA2,0.006586,0.212487,0.0309927
203,Chrysochloris_asiatica,ENSG00000069345_DNAJA2,0.005648,0.128265,0.0440369
204,Orycteropus_afer,ENSG00000069345_DNAJA2,0.000008,0.077456,0.0001
205,Ornithorhynchus_anatinus,ENSG00000069345_DNAJA2,0.003769,0.000161,23.4827
206,Monodelphis_domestica,ENSG00000096384_HSP90AB1,0.001272,0.113991,0.0111558
207,Sarcophilus_harrisii,ENSG00000096384_HSP90AB1,0.000012,0.122083,0.0001
208,Phascolarctos_cinereus,ENSG00000096384_HSP90AB1,0.000014,0.137904,0.0001
209,Condylura_cristata,ENSG00000096384_HSP90AB1,0.001231,0.282054,0.00436598
210,Panthera_tigris,ENSG00000096384_HSP90AB1,0.000000,0.001973,0.0001
211,Panthera_pardus,ENSG00000096384_HSP90AB1,0.000001,0.005929,0.0001
212,Felis_catus,ENSG00000096384_HSP90AB1,0.000001,0.014114,0.0001
213,Acinonyx_jubatus,ENSG00000096384_HSP90AB1,0.000002,0.020194,0.0001
214,Enhydra_lutris,ENSG00000096384_HSP90AB1,0.000003,0.032834,0.0001
215,Mustela_putorius,ENSG00000096384_HSP90AB1,0.000006,0.061191,0.0001
216,Odobenus_rosmarus,ENSG00000096384_HSP90AB1,0.000612,0.086105,0.0071059
217,Ailuropoda_melanoleuca,ENSG00000096384_HSP90AB1,0.004893,0.056440,0.0866955
218,Ursus_maritimus,ENSG00000096384_HSP90AB1,0.000004,0.038416,0.0001
219,Manis_javanica,ENSG00000096384_HSP90AB1,0.002460,0.225703,0.0108976
220,Equus_caballus,ENSG00000096384_HSP90AB1,0.000000,0.000005,0.0001
221,Equus_przewalskii,ENSG00000096384_HSP90AB1,0.000000,0.000005,0.0001
222,Equus_asinus,ENSG00000096384_HSP90AB1,0.000000,0.001997,0.0001
223,Ceratotherium_simum,ENSG00000096384_HSP90AB1,0.001836,0.082682,0.0222066
224,Camelus_dromedarius,ENSG00000096384_HSP90AB1,0.000613,0.001945,0.315239
225,Camelus_ferus,ENSG00000096384_HSP90AB1,0.000000,0.000005,0.0001
226,Camelus_bactrianus,ENSG00000096384_HSP90AB1,0.009477,0.142846,0.0663468
227,Balaenoptera_acutorostrata,ENSG00000096384_HSP90AB1,0.000002,0.019437,0.0001
228,Physeter_catodon,ENSG00000096384_HSP90AB1,0.000004,0.039662,0.0001
229,Lipotes_vexillifer,ENSG00000096384_HSP90AB1,0.004869,0.057015,0.0854007
230,Delphinapterus_leucas,ENSG00000096384_HSP90AB1,0.003664,0.038292,0.0956838
231,Tursiops_truncatus,ENSG00000096384_HSP90AB1,0.000001,0.006059,0.0001
232,Orcinus_orca,ENSG00000096384_HSP90AB1,0.000001,0.006338,0.0001
233,Bos_indicus,ENSG00000096384_HSP90AB1,0.000001,0.006578,0.0001
234,Bison_bison,ENSG00000096384_HSP90AB1,0.000002,0.019367,0.0001
235,Capra_hircus,ENSG00000096384_HSP90AB1,0.000002,0.022005,0.0001
236,Ovis_aries,ENSG00000096384_HSP90AB1,0.000001,0.011965,0.0001
237,Pantholops_hodgsonii,ENSG00000096384_HSP90AB1,0.000605,0.019453,0.0311049
238,Odocoileus_virginianus,ENSG00000096384_HSP90AB1,0.000005,0.047679,0.0001
239,Hipposideros_armiger,ENSG00000096384_HSP90AB1,0.001843,0.091106,0.020229
240,Rhinolophus_sinicus,ENSG00000096384_HSP90AB1,0.003068,0.157068,0.0195306
241,Pteropus_vampyrus,ENSG00000096384_HSP90AB1,0.000619,0.007093,0.0872397
242,Pteropus_alecto,ENSG00000096384_HSP90AB1,0.000001,0.014538,0.0001
243,Rousettus_aegyptiacus,ENSG00000096384_HSP90AB1,0.000618,0.051379,0.0120381
244,Eptesicus_fuscus,ENSG00000096384_HSP90AB1,0.000004,0.044729,0.0001
245,Myotis_brandtii,ENSG00000096384_HSP90AB1,0.000001,0.013365,0.0001
246,Myotis_lucifugus,ENSG00000096384_HSP90AB1,0.000001,0.013042,0.0001
247,Myotis_davidii,ENSG00000096384_HSP90AB1,0.000002,0.021481,0.0001
248,Miniopterus_natalensis,ENSG00000096384_HSP90AB1,0.000615,0.104656,0.00587853
249,Ochotona_princeps,ENSG00000096384_HSP90AB1,0.014507,0.441770,0.0328385
250,Heterocephalus_glaber,ENSG00000096384_HSP90AB1,0.045221,0.097209,0.465192
251,Fukomys_damarensis,ENSG00000096384_HSP90AB1,0.000602,0.096232,0.0062564
252,Cavia_porcellus,ENSG00000096384_HSP90AB1,0.000604,0.004337,0.139164
253,Cavia_aperea,ENSG00000096384_HSP90AB1,0.001348,0.000001,999
254,Chinchilla_lanigera,ENSG00000096384_HSP90AB1,0.000011,0.108927,0.0001
255,Rattus_norvegicus,ENSG00000096384_HSP90AB1,0.000014,0.141999,0.0001
256,Mus_musculus,ENSG00000096384_HSP90AB1,0.000002,0.019806,0.0001
257,Mus_spretus,ENSG00000096384_HSP90AB1,0.000002,0.024502,0.0001
258,Mus_caroli,ENSG00000096384_HSP90AB1,0.000003,0.032374,0.0001
259,Meriones_unguiculatus,ENSG00000096384_HSP90AB1,0.000015,0.148569,0.0001
260,Mesocricetus_auratus,ENSG00000096384_HSP90AB1,0.001207,0.106166,0.0113701
261,Cricetulus_griseus,ENSG00000096384_HSP90AB1,0.023724,0.111402,0.21296
262,Peromyscus_maniculatus,ENSG00000096384_HSP90AB1,0.006754,0.115616,0.05842
263,Nannospalax_galili,ENSG00000096384_HSP90AB1,0.000592,0.146727,0.0040373
264,Jaculus_jaculus,ENSG00000096384_HSP90AB1,0.004166,0.433500,0.00960916
265,Dipodomys_ordii,ENSG00000096384_HSP90AB1,0.002437,0.277204,0.00879086
266,Castor_canadensis,ENSG00000096384_HSP90AB1,0.000609,0.217078,0.00280394
267,Ictidomys_tridecemlineatus,ENSG00000096384_HSP90AB1,0.000621,0.016857,0.0368541
268,Marmota_marmota,ENSG00000096384_HSP90AB1,0.000619,0.014950,0.0414096
269,Propithecus_coquereli,ENSG00000096384_HSP90AB1,0.000620,0.156282,0.00396605
270,Callithrix_jacchus,ENSG00000096384_HSP90AB1,0.014642,0.044216,0.331142
271,Aotus_nancymaae,ENSG00000096384_HSP90AB1,0.000643,0.031653,0.0203012
272,Saimiri_boliviensis,ENSG00000096384_HSP90AB1,0.040165,0.070823,0.567119
273,Mandrillus_leucophaeus,ENSG00000096384_HSP90AB1,0.000001,0.005879,0.0001
274,Cercocebus_atys,ENSG00000096384_HSP90AB1,0.000001,0.005880,0.0001
275,Papio_anubis,ENSG00000096384_HSP90AB1,0.000000,0.003915,0.0001
276,Macaca_mulatta,ENSG00000096384_HSP90AB1,0.000001,0.005870,0.0001
277,Macaca_fascicularis,ENSG00000096384_HSP90AB1,0.000000,0.003906,0.0001
278,Macaca_nemestrina,ENSG00000096384_HSP90AB1,0.000613,0.007844,0.0781942
279,Chlorocebus_sabaeus,ENSG00000096384_HSP90AB1,0.000002,0.016933,0.0001
280,Rhinopithecus_bieti,ENSG00000096384_HSP90AB1,0.000001,0.010133,0.0001
281,Piliocolobus_tephrosceles,ENSG00000096384_HSP90AB1,0.000001,0.009807,0.0001
282,Colobus_angolensis,ENSG00000096384_HSP90AB1,0.000001,0.013759,0.0001
283,Gorilla_gorilla,ENSG00000096384_HSP90AB1,0.000000,0.003892,0.0001
284,Pan_troglodytes,ENSG00000096384_HSP90AB1,0.000001,0.012564,0.0001
285,Pan_paniscus,ENSG00000096384_HSP90AB1,0.000000,0.002083,0.0001
286,Homo_sapiens,ENSG00000096384_HSP90AB1,0.000614,0.005845,0.104987
287,Pongo_abelii,ENSG00000096384_HSP90AB1,0.000003,0.029839,0.0001
288,Carlito_syrichta,ENSG00000096384_HSP90AB1,0.000610,0.244647,0.00249359
289,Galeopterus_variegatus,ENSG00000096384_HSP90AB1,0.002446,0.195027,0.0125402
290,Tupaia_belangeri,ENSG00000096384_HSP90AB1,0.020672,0.285931,0.0722961
291,Trichechus_manatus,ENSG00000096384_HSP90AB1,0.001222,0.144740,0.00844445
292,Loxodonta_africana,ENSG00000096384_HSP90AB1,0.001222,0.149924,0.00814864
293,Chrysochloris_asiatica,ENSG00000096384_HSP90AB1,0.001853,0.253390,0.00731132
294,Elephantulus_edwardii,ENSG00000096384_HSP90AB1,0.000618,0.315903,0.0019568
295,Orycteropus_afer,ENSG00000096384_HSP90AB1,0.001846,0.213667,0.00864017
296,Ornithorhynchus_anatinus,ENSG00000096384_HSP90AB1,0.000025,0.254728,0.0001
297,Sarcophilus_harrisii,ENSG00000109971_HSPA8,0.000719,0.167413,0.00429323
298,Phascolarctos_cinereus,ENSG00000109971_HSPA8,0.000718,0.062129,0.0115585
299,Condylura_cristata,ENSG00000109971_HSPA8,0.000025,0.250539,0.0001
300,Panthera_tigris,ENSG00000109971_HSPA8,0.000001,0.005314,0.0001
301,Panthera_pardus,ENSG00000109971_HSPA8,0.000001,0.006702,0.0001
302,Felis_catus,ENSG00000109971_HSPA8,0.000003,0.027735,0.0001
303,Acinonyx_jubatus,ENSG00000109971_HSPA8,0.000002,0.017255,0.0001
304,Mustela_putorius,ENSG00000109971_HSPA8,0.001423,0.101469,0.0140213
305,Odobenus_rosmarus,ENSG00000109971_HSPA8,0.000006,0.057674,0.0001
306,Leptonychotes_weddellii,ENSG00000109971_HSPA8,0.001423,0.031437,0.0452708
307,Ailuropoda_melanoleuca,ENSG00000109971_HSPA8,0.000002,0.017558,0.0001
308,Ursus_maritimus,ENSG00000109971_HSPA8,0.000002,0.017357,0.0001
309,Manis_javanica,ENSG00000109971_HSPA8,0.000021,0.213470,0.0001
310,Equus_caballus,ENSG00000109971_HSPA8,0.000000,0.002004,0.0001
311,Equus_przewalskii,ENSG00000109971_HSPA8,0.000721,0.000001,999
312,Equus_asinus,ENSG00000109971_HSPA8,0.000000,0.000005,0.0001
313,Ceratotherium_simum,ENSG00000109971_HSPA8,0.000713,0.077017,0.00925479
314,Camelus_dromedarius,ENSG00000109971_HSPA8,0.000718,0.001802,0.398189
