Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
O95744	reviewed	Putative postmeiotic segregation increased 2-like protein 2	9606	Homo sapiens	297	IPR036890	73..274
O95745	unreviewed	PMS2L15 protein	9606	Homo sapiens	148	IPR036890	66..148
P07900	reviewed	Heat shock protein HSP 90-alpha	9606	Homo sapiens	732	IPR036890	17..225
P08238	reviewed	Heat shock protein HSP 90-beta	9606	Homo sapiens	724	IPR036890	12..221
P11388	reviewed	DNA topoisomerase 2-alpha	9606	Homo sapiens	1531	IPR036890	34..278
P14625	reviewed	Endoplasmin	9606	Homo sapiens	803	IPR036890	73..358
P40692	reviewed	DNA mismatch repair protein Mlh1	9606	Homo sapiens	756	IPR036890	7..221
P54277	reviewed	PMS1 protein homolog 1	9606	Homo sapiens	932	IPR036890	1..210
P54278	reviewed	Mismatch repair endonuclease PMS2	9606	Homo sapiens	862	IPR036890	11..231
Q02880	reviewed	DNA topoisomerase 2-beta	9606	Homo sapiens	1626	IPR036890	55..299
Q0ZAJ7	unreviewed	MLH1-Ex6 isoform	9606	Homo sapiens	56	IPR036890	1..55
Q0ZAJ8	unreviewed	MLH1+ins1a isoform	9606	Homo sapiens	48	IPR036890	7..41
Q12931	reviewed	Heat shock protein 75 kDa, mitochondrial	9606	Homo sapiens	704	IPR036890	82..294
Q13401	reviewed	Putative postmeiotic segregation increased 2-like protein 3	9606	Homo sapiens	168	IPR036890	86..167
Q13670	reviewed	Putative postmeiotic segregation increased 2-like protein 11	9606	Homo sapiens	270	IPR036890	157..246
Q14149	reviewed	MORC family CW-type zinc finger protein 3	9606	Homo sapiens	939	IPR036890	17..290
Q14568	reviewed	Heat shock protein HSP 90-alpha A2	9606	Homo sapiens	343	IPR036890	17..224
Q15118	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial	9606	Homo sapiens	436	IPR036890	215..401
Q15119	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial	9606	Homo sapiens	407	IPR036890	187..372
Q15120	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial	9606	Homo sapiens	406	IPR036890	184..367
Q15157	unreviewed	HPMS4 protein	9606	Homo sapiens	252	IPR036890	23..221
Q16544	unreviewed	HPMS6 protein	9606	Homo sapiens	159	IPR036890	16..103
Q16590	unreviewed	HCG2023604, isoform CRA_a	9606	Homo sapiens	98	IPR036890	15..96
Q16603	unreviewed	HPMS5 protein	9606	Homo sapiens	186	IPR036890	5..185
Q16654	reviewed	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial	9606	Homo sapiens	411	IPR036890	190..376
Q16673	unreviewed	HPMS7 protein	9606	Homo sapiens	161	IPR036890	1..84
Q2M1Z1	unreviewed	MutL homolog 3 (E. coli)	9606	Homo sapiens	1429	IPR036890	1..216
Q2VPJ6	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	585	IPR036890	17..225
Q3BDU3	unreviewed	HMG box domain-containing protein	9606	Homo sapiens	659	IPR036890	1..195
Q4VBZ9	unreviewed	CW-type domain-containing protein	9606	Homo sapiens	939	IPR036890	17..290
Q53FG1	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	411	IPR036890	190..376
Q53FS6	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	704	IPR036890	82..294
Q53G55	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	704	IPR036890	82..294
Q53GX1	unreviewed	DNA_mis_repair domain-containing protein	9606	Homo sapiens	756	IPR036890	7..221
Q53R49	unreviewed	Protein-serine/threonine kinase	9606	Homo sapiens	390	IPR036890	215..390
Q58FF6	reviewed	Putative heat shock protein HSP 90-beta 4	9606	Homo sapiens	505	IPR036890	1..195
Q58FF7	reviewed	Putative heat shock protein HSP 90-beta-3	9606	Homo sapiens	597	IPR036890	12..211
Q58FF8	reviewed	Putative heat shock protein HSP 90-beta 2	9606	Homo sapiens	381	IPR036890	1..157
Q58FG0	reviewed	Putative heat shock protein HSP 90-alpha A5	9606	Homo sapiens	334	IPR036890	19..126
Q58FG1	reviewed	Putative heat shock protein HSP 90-alpha A4	9606	Homo sapiens	418	IPR036890	2..115
Q59EG3	unreviewed	DNA_mis_repair domain-containing protein	9606	Homo sapiens	552	IPR036890	11..86
Q59EK6	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	703	IPR036890	81..293
Q59FC6	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	576	IPR036890	99..384
Q5CAQ4	unreviewed	TNF receptor-associated protein 1	9606	Homo sapiens	495	IPR036890	1..96
Q5CAQ5	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	802	IPR036890	73..358
Q5FBW8	unreviewed	Postmeiotic segregation increased 2 nirs variant 5	9606	Homo sapiens	756	IPR036890	5..125
Q5FBZ1	unreviewed	PMS1 nirs variant 9	9606	Homo sapiens	195	IPR036890	1..195
Q5FBZ2	unreviewed	PMS1 nirs variant 8	9606	Homo sapiens	234	IPR036890	1..214
Q5FBZ4	unreviewed	PMS1 nirs variant 6	9606	Homo sapiens	248	IPR036890	1..216
Q5FBZ5	unreviewed	PMS1 nirs variant 5	9606	Homo sapiens	196	IPR036890	1..196
Q5FBZ7	unreviewed	PMS1 nirs variant 3	9606	Homo sapiens	47	IPR036890	1..47
Q5FBZ9	unreviewed	HMG box domain-containing protein	9606	Homo sapiens	667	IPR036890	1..195
Q5GJ64	unreviewed	DNA_mis_repair domain-containing protein	9606	Homo sapiens	755	IPR036890	6..220
Q5XG96	unreviewed	PMS1 protein	9606	Homo sapiens	165	IPR036890	1..148
Q6LBI8	unreviewed	Topoisomerase IIb	9606	Homo sapiens	57	IPR036890	35..57
Q6PK50	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	351	IPR036890	12..221
Q71UH4	unreviewed	DNA topoisomerase 2	9606	Homo sapiens	1598	IPR036890	27..271
Q7KZT4	unreviewed	PMS1 postmeiotic segregation increased 1 (S. cerevisiae)	9606	Homo sapiens	166	IPR036890	1..152
Q7Z3Q2	unreviewed	Uncharacterized protein DKFZp686J1569	9606	Homo sapiens	185	IPR036890	81..185
Q7Z7L0	unreviewed	PMS2L5 protein	9606	Homo sapiens	114	IPR036890	30..79
Q86SX1	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	262	IPR036890	139..262
Q86U12	unreviewed	Full-length cDNA clone CS0CAP007YF18 of Thymus of Homo sapiens (human)	9606	Homo sapiens	413	IPR036890	1..125
Q86VD1	reviewed	MORC family CW-type zinc finger protein 1	9606	Homo sapiens	984	IPR036890	9..274
Q8N9Z3	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	579	IPR036890	76..287
Q8TBA7	unreviewed	HSP90AA1 protein	9606	Homo sapiens	638	IPR036890	1..144
Q8TE76	reviewed	MORC family CW-type zinc finger protein 4	9606	Homo sapiens	937	IPR036890	36..296
Q96GW1	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	315	IPR036890	73..304
Q9BV61	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	699	IPR036890	77..289
Q9NZJ4	reviewed	Sacsin	9606	Homo sapiens	4579	IPR036890	89..288,1452..1642,2521..2704
Q9P1T0	unreviewed	AS12 protein	9606	Homo sapiens	202	IPR036890	81..169
Q9UHC1	reviewed	DNA mismatch repair protein Mlh3	9606	Homo sapiens	1453	IPR036890	1..216
Q9Y6X9	reviewed	ATPase MORC2	9606	Homo sapiens	1032	IPR036890	25..278
S4R3U3	unreviewed	MORC family CW-type zinc finger protein 4	9606	Homo sapiens	38	IPR036890	3..37
V9HWP2	unreviewed	HATPase_c domain-containing protein	9606	Homo sapiens	803	IPR036890	73..358
