,Species,gene,dN,dS,dN/dS
54,Cavia_porcellus,ENSG00000001084_GCLC,0.001489,0.000001,999
55,Cavia_aperea,ENSG00000001084_GCLC,0.000001,0.009407,0.0001
56,Chinchilla_lanigera,ENSG00000001084_GCLC,0.008184,0.137405,0.0595585
57,Rattus_norvegicus,ENSG00000001084_GCLC,0.002854,0.096338,0.0296255
58,Mus_musculus,ENSG00000001084_GCLC,0.000001,0.014090,0.0001
59,Mus_spretus,ENSG00000001084_GCLC,0.000713,0.027605,0.0258306
60,Mus_caroli,ENSG00000001084_GCLC,0.000712,0.016405,0.0434002
61,Mus_pahari,ENSG00000001084_GCLC,0.000706,0.033966,0.0207814
62,Meriones_unguiculatus,ENSG00000001084_GCLC,0.005205,0.113129,0.0460126
63,Mesocricetus_auratus,ENSG00000001084_GCLC,0.003568,0.069501,0.0513394
64,Cricetulus_griseus,ENSG00000001084_GCLC,0.000712,0.022236,0.0320267
65,Microtus_ochrogaster,ENSG00000001084_GCLC,0.005047,0.083364,0.0605467
66,Peromyscus_maniculatus,ENSG00000001084_GCLC,0.006375,0.085183,0.0748444
67,Nannospalax_galili,ENSG00000001084_GCLC,0.009964,0.136974,0.072743
68,Jaculus_jaculus,ENSG00000001084_GCLC,0.012675,0.129981,0.0975142
69,Dipodomys_ordii,ENSG00000001084_GCLC,0.022842,0.607113,0.0376234
70,Castor_canadensis,ENSG00000001084_GCLC,0.011514,0.174856,0.0658492
71,Ictidomys_tridecemlineatus,ENSG00000001084_GCLC,0.001438,0.014365,0.100104
72,Marmota_marmota,ENSG00000001084_GCLC,0.000001,0.010275,0.0001
73,Otolemur_garnettii,ENSG00000001084_GCLC,0.006372,0.139233,0.0457647
74,Propithecus_coquereli,ENSG00000001084_GCLC,0.003875,0.045358,0.0854341
75,Microcebus_murinus,ENSG00000001084_GCLC,0.007104,0.062988,0.112788
76,Callithrix_jacchus,ENSG00000001084_GCLC,0.004314,0.024694,0.174693
77,Aotus_nancymaae,ENSG00000001084_GCLC,0.002870,0.014717,0.195036
78,Saimiri_boliviensis,ENSG00000001084_GCLC,0.001435,0.039303,0.0365146
79,Cebus_capucinus,ENSG00000001084_GCLC,0.002154,0.020597,0.104578
80,Mandrillus_leucophaeus,ENSG00000001084_GCLC,0.000000,0.004372,0.0001
81,Cercocebus_atys,ENSG00000001084_GCLC,0.000717,0.004039,0.177619
82,Papio_anubis,ENSG00000001084_GCLC,0.000718,0.004032,0.178162
83,Macaca_mulatta,ENSG00000001084_GCLC,0.000000,0.004029,0.0001
84,Macaca_fascicularis,ENSG00000001084_GCLC,0.000001,0.000001,1.40466
85,Macaca_nemestrina,ENSG00000001084_GCLC,0.000000,0.004026,0.0001
86,Chlorocebus_sabaeus,ENSG00000001084_GCLC,0.000001,0.013612,0.0001
87,Rhinopithecus_roxellana,ENSG00000001084_GCLC,0.000001,0.000001,1.68739
88,Rhinopithecus_bieti,ENSG00000001084_GCLC,0.000000,0.002017,0.0001
89,Piliocolobus_tephrosceles,ENSG00000001084_GCLC,0.000718,0.006082,0.118044
90,Colobus_angolensis,ENSG00000001084_GCLC,0.000002,0.018379,0.0001
91,Nomascus_leucogenys,ENSG00000001084_GCLC,0.001432,0.033016,0.0433655
92,Gorilla_gorilla,ENSG00000001084_GCLC,0.000717,0.008093,0.088589
93,Pan_troglodytes,ENSG00000001084_GCLC,0.000002,0.000001,2.03408
94,Pan_paniscus,ENSG00000001084_GCLC,0.000000,0.002014,0.0001
95,Homo_sapiens,ENSG00000001084_GCLC,0.000717,0.002013,0.356187
96,Pongo_abelii,ENSG00000001084_GCLC,0.002152,0.012257,0.175575
97,Carlito_syrichta,ENSG00000001084_GCLC,0.006373,0.195214,0.0326482
98,Galeopterus_variegatus,ENSG00000001084_GCLC,0.006480,0.112400,0.0576523
99,Tupaia_belangeri,ENSG00000001084_GCLC,0.013472,0.135410,0.0994884
100,Dasypus_novemcinctus,ENSG00000001084_GCLC,0.004940,0.129214,0.038233
101,Choloepus_hoffmanni,ENSG00000001084_GCLC,0.005270,0.077011,0.0684287
102,Trichechus_manatus,ENSG00000001084_GCLC,0.005520,0.072839,0.0757865
103,Procavia_capensis,ENSG00000001084_GCLC,0.010815,0.131358,0.0823312
104,Loxodonta_africana,ENSG00000001084_GCLC,0.005133,0.067373,0.0761818
105,Echinops_telfairi,ENSG00000001084_GCLC,0.012788,0.336033,0.0380544
106,Chrysochloris_asiatica,ENSG00000001084_GCLC,0.009861,0.165346,0.0596368
107,Elephantulus_edwardii,ENSG00000001084_GCLC,0.011110,0.222385,0.0499565
108,Orycteropus_afer,ENSG00000001084_GCLC,0.007929,0.089601,0.0884898
109,Ornithorhynchus_anatinus,ENSG00000001084_GCLC,0.000010,0.104580,0.000100147
110,Monodelphis_domestica,ENSG00000009765_IYD,0.022164,0.105906,0.209276
111,Sarcophilus_harrisii,ENSG00000009765_IYD,0.029550,0.161741,0.182698
112,Phascolarctos_cinereus,ENSG00000009765_IYD,0.026752,0.096263,0.277906
113,Erinaceus_europaeus,ENSG00000009765_IYD,0.032609,0.370817,0.0879393
114,Sorex_araneus,ENSG00000009765_IYD,0.027673,0.312773,0.0884774
115,Condylura_cristata,ENSG00000009765_IYD,0.047025,0.228790,0.205537
116,Panthera_tigris,ENSG00000009765_IYD,0.003264,0.004210,0.775145
117,Panthera_pardus,ENSG00000009765_IYD,0.000000,0.000005,0.0001
118,Felis_catus,ENSG00000009765_IYD,0.000001,0.013568,0.0001
119,Acinonyx_jubatus,ENSG00000009765_IYD,0.011526,0.012078,0.954233
120,Enhydra_lutris,ENSG00000009765_IYD,0.016381,0.036034,0.454608
121,Mustela_putorius,ENSG00000009765_IYD,0.007080,0.036637,0.193234
122,Odobenus_rosmarus,ENSG00000009765_IYD,0.011939,0.030379,0.393006
123,Leptonychotes_weddellii,ENSG00000009765_IYD,0.019401,0.022487,0.862744
124,Ailuropoda_melanoleuca,ENSG00000009765_IYD,0.008216,0.021876,0.375556
125,Ursus_maritimus,ENSG00000009765_IYD,0.008850,0.024788,0.357029
126,Manis_javanica,ENSG00000009765_IYD,0.027537,0.157343,0.175012
127,Equus_caballus,ENSG00000009765_IYD,0.001647,0.000003,551.217
128,Equus_przewalskii,ENSG00000009765_IYD,0.001647,0.008676,0.189806
129,Equus_asinus,ENSG00000009765_IYD,0.003331,0.008432,0.395055
130,Ceratotherium_simum,ENSG00000009765_IYD,0.023670,0.061957,0.382037
131,Vicugna_pacos,ENSG00000009765_IYD,0.000000,0.003753,0.0001
132,Camelus_dromedarius,ENSG00000009765_IYD,0.001661,0.006458,0.257214
133,Camelus_ferus,ENSG00000009765_IYD,0.000000,0.000005,0.00120293
134,Camelus_bactrianus,ENSG00000009765_IYD,0.001653,0.000003,497.877
135,Balaenoptera_acutorostrata,ENSG00000009765_IYD,0.011848,0.005797,2.0437
136,Physeter_catodon,ENSG00000009765_IYD,0.011787,0.037433,0.314893
137,Lipotes_vexillifer,ENSG00000009765_IYD,0.003544,0.012459,0.284472
138,Delphinapterus_leucas,ENSG00000009765_IYD,0.006603,0.000008,834.242
139,Tursiops_truncatus,ENSG00000009765_IYD,0.002607,0.012918,0.201845
140,Orcinus_orca,ENSG00000009765_IYD,0.002377,0.010918,0.217681
141,Bubalus_bubalis,ENSG00000009765_IYD,0.010012,0.014549,0.688195
142,Bos_taurus,ENSG00000009765_IYD,0.003268,0.004370,0.747822
143,Bos_indicus,ENSG00000009765_IYD,0.000001,0.000002,0.593053
144,Bos_mutus,ENSG00000009765_IYD,0.001615,0.005143,0.313986
145,Bison_bison,ENSG00000009765_IYD,0.001655,0.005106,0.324105
146,Capra_hircus,ENSG00000009765_IYD,0.009923,0.000010,998.854
147,Ovis_aries,ENSG00000009765_IYD,0.001510,0.004305,0.350832
148,Pantholops_hodgsonii,ENSG00000009765_IYD,0.009942,0.006265,1.58694
149,Odocoileus_virginianus,ENSG00000009765_IYD,0.007048,0.069796,0.10098
150,Sus_scrofa,ENSG00000009765_IYD,0.016247,0.223287,0.0727626
151,Hipposideros_armiger,ENSG00000009765_IYD,0.016258,0.042625,0.381416
152,Rhinolophus_sinicus,ENSG00000009765_IYD,0.022125,0.116515,0.189894
153,Pteropus_vampyrus,ENSG00000009765_IYD,0.006508,0.028579,0.227709
154,Pteropus_alecto,ENSG00000009765_IYD,0.002910,0.007850,0.370749
155,Rousettus_aegyptiacus,ENSG00000009765_IYD,0.035127,0.069814,0.503152
156,Eptesicus_fuscus,ENSG00000009765_IYD,0.004865,0.035148,0.138426
157,Myotis_brandtii,ENSG00000009765_IYD,0.004841,0.029808,0.162414
158,Myotis_lucifugus,ENSG00000009765_IYD,0.000002,0.018698,0.0001
159,Myotis_davidii,ENSG00000009765_IYD,0.000006,0.061317,0.0001
160,Miniopterus_natalensis,ENSG00000009765_IYD,0.019177,0.218580,0.0877339
161,Oryctolagus_cuniculus,ENSG00000009765_IYD,0.045724,0.118106,0.387143
162,Ochotona_princeps,ENSG00000009765_IYD,0.065123,0.320036,0.203486
163,Heterocephalus_glaber,ENSG00000009765_IYD,0.008846,0.078312,0.112958
164,Fukomys_damarensis,ENSG00000009765_IYD,0.023258,0.081370,0.285826
165,Cavia_porcellus,ENSG00000009765_IYD,0.012814,0.000020,646.526
166,Cavia_aperea,ENSG00000009765_IYD,0.000001,0.010424,0.0001
167,Octodon_degus,ENSG00000009765_IYD,0.046500,0.168061,0.276686
168,Chinchilla_lanigera,ENSG00000009765_IYD,0.017402,0.039549,0.440003
169,Rattus_norvegicus,ENSG00000009765_IYD,0.018344,0.118914,0.154262
170,Mus_musculus,ENSG00000009765_IYD,0.003271,0.019852,0.164767
171,Mus_spretus,ENSG00000009765_IYD,0.003280,0.011292,0.290467
172,Mus_caroli,ENSG00000009765_IYD,0.001656,0.023534,0.070366
173,Mus_pahari,ENSG00000009765_IYD,0.000008,0.082073,0.0001
174,Meriones_unguiculatus,ENSG00000009765_IYD,0.043968,0.189205,0.232382
175,Mesocricetus_auratus,ENSG00000009765_IYD,0.009641,0.128547,0.0749969
176,Cricetulus_griseus,ENSG00000009765_IYD,0.009378,0.053977,0.173738
177,Microtus_ochrogaster,ENSG00000009765_IYD,0.016732,0.183204,0.091328
178,Peromyscus_maniculatus,ENSG00000009765_IYD,0.021731,0.155908,0.139383
179,Nannospalax_galili,ENSG00000009765_IYD,0.030172,0.209628,0.143931
180,Jaculus_jaculus,ENSG00000009765_IYD,0.063170,0.142743,0.442543
181,Dipodomys_ordii,ENSG00000009765_IYD,0.071971,0.365784,0.196757
182,Castor_canadensis,ENSG00000009765_IYD,0.049591,0.186170,0.266374
183,Ictidomys_tridecemlineatus,ENSG00000009765_IYD,0.003202,0.037248,0.0859684
184,Marmota_marmota,ENSG00000009765_IYD,0.003658,0.031750,0.115204
185,Otolemur_garnettii,ENSG00000009765_IYD,0.022974,0.193911,0.118479
186,Propithecus_coquereli,ENSG00000009765_IYD,0.010656,0.034344,0.310271
187,Microcebus_murinus,ENSG00000009765_IYD,0.007591,0.072281,0.105027
188,Callithrix_jacchus,ENSG00000009765_IYD,0.008881,0.032326,0.274721
189,Aotus_nancymaae,ENSG00000009765_IYD,0.007400,0.024817,0.298179
190,Saimiri_boliviensis,ENSG00000009765_IYD,0.000002,0.024654,0.0001
191,Cebus_capucinus,ENSG00000009765_IYD,0.007432,0.045119,0.16473
192,Mandrillus_leucophaeus,ENSG00000009765_IYD,0.005557,0.019651,0.282753
193,Cercocebus_atys,ENSG00000009765_IYD,0.001844,0.009876,0.186721
194,Papio_anubis,ENSG00000009765_IYD,0.001853,0.014645,0.126519
195,Macaca_mulatta,ENSG00000009765_IYD,0.007443,0.039750,0.18724
196,Macaca_fascicularis,ENSG00000009765_IYD,0.000002,0.000001,2.59934
197,Macaca_nemestrina,ENSG00000009765_IYD,0.003293,0.000005,666.153
198,Chlorocebus_sabaeus,ENSG00000009765_IYD,0.004886,0.014341,0.340657
199,Rhinopithecus_roxellana,ENSG00000009765_IYD,0.000001,0.000001,1.48676
200,Rhinopithecus_bieti,ENSG00000009765_IYD,0.001856,0.014749,0.125854
201,Piliocolobus_tephrosceles,ENSG00000009765_IYD,0.005569,0.014886,0.374083
202,Colobus_angolensis,ENSG00000009765_IYD,0.005582,0.004965,1.12437
203,Nomascus_leucogenys,ENSG00000009765_IYD,0.001841,0.012936,0.14228
204,Gorilla_gorilla,ENSG00000009765_IYD,0.001850,0.009801,0.188716
205,Pan_troglodytes,ENSG00000009765_IYD,0.000000,0.004844,0.0001
206,Pan_paniscus,ENSG00000009765_IYD,0.001846,0.009748,0.18933
207,Homo_sapiens,ENSG00000009765_IYD,0.001843,0.004914,0.375037
208,Pongo_abelii,ENSG00000009765_IYD,0.009409,0.033884,0.277671
209,Carlito_syrichta,ENSG00000009765_IYD,0.042332,0.151590,0.279254
210,Galeopterus_variegatus,ENSG00000009765_IYD,0.022187,0.099438,0.223119
211,Tupaia_belangeri,ENSG00000009765_IYD,0.038516,0.266749,0.144391
212,Dasypus_novemcinctus,ENSG00000009765_IYD,0.028514,0.145923,0.195406
213,Choloepus_hoffmanni,ENSG00000009765_IYD,0.026508,0.145565,0.182106
214,Trichechus_manatus,ENSG00000009765_IYD,0.008783,0.084315,0.104172
215,Procavia_capensis,ENSG00000009765_IYD,0.054115,0.184185,0.29381
216,Loxodonta_africana,ENSG00000009765_IYD,0.045650,0.119930,0.380636
217,Echinops_telfairi,ENSG00000009765_IYD,0.056874,0.357489,0.159094
218,Chrysochloris_asiatica,ENSG00000009765_IYD,0.062624,0.211881,0.295561
219,Elephantulus_edwardii,ENSG00000009765_IYD,0.080613,0.293792,0.274389
220,Orycteropus_afer,ENSG00000009765_IYD,0.043837,0.157366,0.27857
221,Ornithorhynchus_anatinus,ENSG00000009765_IYD,0.000001,0.000001,1.24071
222,Monodelphis_domestica,ENSG00000010671_BTK,0.005592,0.135460,0.0412833
223,Sarcophilus_harrisii,ENSG00000010671_BTK,0.006628,0.113263,0.0585217
224,Phascolarctos_cinereus,ENSG00000010671_BTK,0.004309,0.105054,0.0410217
225,Erinaceus_europaeus,ENSG00000010671_BTK,0.005665,0.238545,0.0237467
226,Sorex_araneus,ENSG00000010671_BTK,0.006538,0.224601,0.0291079
227,Condylura_cristata,ENSG00000010671_BTK,0.008198,0.137800,0.0594906
228,Panthera_tigris,ENSG00000010671_BTK,0.000700,0.001941,0.36047
229,Panthera_pardus,ENSG00000010671_BTK,0.000000,0.003855,0.0001
230,Felis_catus,ENSG00000010671_BTK,0.000001,0.006304,0.0001
231,Acinonyx_jubatus,ENSG00000010671_BTK,0.002020,0.011556,0.17477
232,Enhydra_lutris,ENSG00000010671_BTK,0.000001,0.008091,0.0001
233,Mustela_putorius,ENSG00000010671_BTK,0.001393,0.027432,0.0507827
234,Odobenus_rosmarus,ENSG00000010671_BTK,0.000001,0.011595,0.0001
235,Leptonychotes_weddellii,ENSG00000010671_BTK,0.000002,0.024015,0.0001
236,Ailuropoda_melanoleuca,ENSG00000010671_BTK,0.000002,0.018598,0.0001
237,Ursus_maritimus,ENSG00000010671_BTK,0.000002,0.016952,0.0001
238,Manis_javanica,ENSG00000010671_BTK,0.002792,0.084899,0.0328892
239,Equus_caballus,ENSG00000010671_BTK,0.000001,0.000001,1.62673
240,Equus_przewalskii,ENSG00000010671_BTK,0.000002,0.000001,1.98123
241,Equus_asinus,ENSG00000010671_BTK,0.002863,0.000005,538.344
242,Ceratotherium_simum,ENSG00000010671_BTK,0.000005,0.048950,0.0001
243,Vicugna_pacos,ENSG00000010671_BTK,0.000002,0.015337,0.0001
244,Camelus_dromedarius,ENSG00000010671_BTK,0.000002,0.000001,2.03393
245,Camelus_ferus,ENSG00000010671_BTK,0.000002,0.000001,1.78109
246,Camelus_bactrianus,ENSG00000010671_BTK,0.000001,0.000001,1.60131
247,Balaenoptera_acutorostrata,ENSG00000010671_BTK,0.003751,0.007663,0.489457
248,Physeter_catodon,ENSG00000010671_BTK,0.001396,0.010302,0.135484
249,Lipotes_vexillifer,ENSG00000010671_BTK,0.000001,0.005810,0.0001
250,Delphinapterus_leucas,ENSG00000010671_BTK,0.000001,0.005845,0.0001
251,Tursiops_truncatus,ENSG00000010671_BTK,0.000002,0.000001,1.77913
252,Orcinus_orca,ENSG00000010671_BTK,0.000001,0.000001,1.68416
253,Bos_taurus,ENSG00000010671_BTK,0.000002,0.000001,1.70604
254,Bos_indicus,ENSG00000010671_BTK,0.000002,0.000001,1.82622
255,Bos_mutus,ENSG00000010671_BTK,0.000002,0.000001,1.9886
256,Capra_hircus,ENSG00000010671_BTK,0.000001,0.007806,0.0001
257,Ovis_aries,ENSG00000010671_BTK,0.000001,0.005823,0.0001
258,Pantholops_hodgsonii,ENSG00000010671_BTK,0.000001,0.007743,0.0001
259,Odocoileus_virginianus,ENSG00000010671_BTK,0.000741,0.019075,0.0388672
260,Sus_scrofa,ENSG00000010671_BTK,0.001396,0.074408,0.0187591
261,Rhinolophus_sinicus,ENSG00000010671_BTK,0.003559,0.062477,0.0569723
262,Pteropus_vampyrus,ENSG00000010671_BTK,0.000698,0.005839,0.119464
263,Pteropus_alecto,ENSG00000010671_BTK,0.000000,0.003847,0.0001
264,Rousettus_aegyptiacus,ENSG00000010671_BTK,0.001398,0.031574,0.0442734
265,Eptesicus_fuscus,ENSG00000010671_BTK,0.000002,0.023273,0.0001
266,Myotis_brandtii,ENSG00000010671_BTK,0.001396,0.001929,0.723723
267,Myotis_lucifugus,ENSG00000010671_BTK,0.000000,0.001925,0.0001
268,Myotis_davidii,ENSG00000010671_BTK,0.000001,0.009698,0.0001
269,Miniopterus_natalensis,ENSG00000010671_BTK,0.002092,0.058115,0.0360034
270,Oryctolagus_cuniculus,ENSG00000010671_BTK,0.002549,0.083528,0.0305122
271,Ochotona_princeps,ENSG00000010671_BTK,0.011280,0.131959,0.0854811
272,Heterocephalus_glaber,ENSG00000010671_BTK,0.000699,0.029032,0.0240858
273,Fukomys_damarensis,ENSG00000010671_BTK,0.000724,0.058242,0.0124225
274,Cavia_porcellus,ENSG00000010671_BTK,0.002096,0.081435,0.0257426
275,Octodon_degus,ENSG00000010671_BTK,0.004234,0.133307,0.0317589
276,Chinchilla_lanigera,ENSG00000010671_BTK,0.002023,0.049282,0.0410541
277,Rattus_norvegicus,ENSG00000010671_BTK,0.002252,0.096790,0.0232637
278,Mus_musculus,ENSG00000010671_BTK,0.000001,0.009820,0.0001
279,Mus_spretus,ENSG00000010671_BTK,0.001392,0.013815,0.100798
280,Mus_caroli,ENSG00000010671_BTK,0.000285,0.014871,0.019161
281,Mus_pahari,ENSG00000010671_BTK,0.000006,0.064934,0.0001
282,Meriones_unguiculatus,ENSG00000010671_BTK,0.004848,0.090207,0.0537412
283,Mesocricetus_auratus,ENSG00000010671_BTK,0.000004,0.043003,0.0001
284,Cricetulus_griseus,ENSG00000010671_BTK,0.000004,0.042650,0.0001
285,Microtus_ochrogaster,ENSG00000010671_BTK,0.007412,0.098611,0.0751654
286,Peromyscus_maniculatus,ENSG00000010671_BTK,0.002801,0.089907,0.0311502
287,Nannospalax_galili,ENSG00000010671_BTK,0.002099,0.135290,0.0155165
288,Jaculus_jaculus,ENSG00000010671_BTK,0.004344,0.127427,0.0340912
289,Dipodomys_ordii,ENSG00000010671_BTK,0.007749,0.129532,0.0598241
290,Castor_canadensis,ENSG00000010671_BTK,0.005622,0.093033,0.0604251
291,Ictidomys_tridecemlineatus,ENSG00000010671_BTK,0.000001,0.014205,0.0001
292,Marmota_marmota,ENSG00000010671_BTK,0.001395,0.011272,0.123796
293,Otolemur_garnettii,ENSG00000010671_BTK,0.007709,0.094091,0.0819295
294,Propithecus_coquereli,ENSG00000010671_BTK,0.002257,0.024227,0.0931538
295,Microcebus_murinus,ENSG00000010671_BTK,0.001574,0.052520,0.0299771
296,Callithrix_jacchus,ENSG00000010671_BTK,0.004899,0.025459,0.192434
297,Aotus_nancymaae,ENSG00000010671_BTK,0.000002,0.018108,0.0001
298,Saimiri_boliviensis,ENSG00000010671_BTK,0.009372,0.028694,0.326606
299,Cebus_capucinus,ENSG00000010671_BTK,0.000824,0.029034,0.0283767
300,Mandrillus_leucophaeus,ENSG00000010671_BTK,0.000001,0.005772,0.0001
301,Cercocebus_atys,ENSG00000010671_BTK,0.000698,0.003846,0.18157
302,Papio_anubis,ENSG00000010671_BTK,0.000000,0.003853,0.0001
303,Macaca_mulatta,ENSG00000010671_BTK,0.000000,0.001923,0.0001
304,Macaca_fascicularis,ENSG00000010671_BTK,0.000001,0.005781,0.0001
305,Macaca_nemestrina,ENSG00000010671_BTK,0.000000,0.003844,0.0001
306,Chlorocebus_sabaeus,ENSG00000010671_BTK,0.000001,0.007680,0.0001
307,Rhinopithecus_roxellana,ENSG00000010671_BTK,0.001443,0.006004,0.240266
308,Rhinopithecus_bieti,ENSG00000010671_BTK,0.002058,0.003020,0.681364
309,Piliocolobus_tephrosceles,ENSG00000010671_BTK,0.000001,0.011064,0.0001
310,Colobus_angolensis,ENSG00000010671_BTK,0.000698,0.003838,0.181916
311,Nomascus_leucogenys,ENSG00000010671_BTK,0.000001,0.011566,0.0001
312,Gorilla_gorilla,ENSG00000010671_BTK,0.000001,0.005788,0.0001
313,Pan_paniscus,ENSG00000010671_BTK,0.000000,0.001924,0.0001
314,Homo_sapiens,ENSG00000010671_BTK,0.000001,0.007719,0.0001
315,Pongo_abelii,ENSG00000010671_BTK,0.000698,0.007746,0.0900643
316,Carlito_syrichta,ENSG00000010671_BTK,0.002797,0.101109,0.0276635
317,Galeopterus_variegatus,ENSG00000010671_BTK,0.002795,0.109532,0.0255136
318,Dasypus_novemcinctus,ENSG00000010671_BTK,0.003086,0.099435,0.0310351
319,Choloepus_hoffmanni,ENSG00000010671_BTK,0.002264,0.076282,0.0296782
320,Trichechus_manatus,ENSG00000010671_BTK,0.001398,0.035055,0.0398688
321,Procavia_capensis,ENSG00000010671_BTK,0.003929,0.139527,0.0281624
322,Loxodonta_africana,ENSG00000010671_BTK,0.002093,0.059338,0.0352738
323,Echinops_telfairi,ENSG00000010671_BTK,0.007597,0.146831,0.0517414
324,Chrysochloris_asiatica,ENSG00000010671_BTK,0.004945,0.091210,0.0542122
325,Elephantulus_edwardii,ENSG00000010671_BTK,0.008491,0.168963,0.0502528
326,Orycteropus_afer,ENSG00000010671_BTK,0.002162,0.075400,0.0286726
327,Ornithorhynchus_anatinus,ENSG00000010671_BTK,0.000002,0.000001,2.26666
328,Monodelphis_domestica,ENSG00000011376_LARS2,0.018127,0.101442,0.17869
329,Sarcophilus_harrisii,ENSG00000011376_LARS2,0.030455,0.157010,0.193968
330,Phascolarctos_cinereus,ENSG00000011376_LARS2,0.024020,0.095576,0.251317
331,Erinaceus_europaeus,ENSG00000011376_LARS2,0.051737,0.429494,0.120461
332,Sorex_araneus,ENSG00000011376_LARS2,0.037259,0.422049,0.0882801
333,Condylura_cristata,ENSG00000011376_LARS2,0.030858,0.208315,0.148131
334,Panthera_tigris,ENSG00000011376_LARS2,0.002514,0.005637,0.446036
335,Panthera_pardus,ENSG00000011376_LARS2,0.003019,0.008854,0.34102
336,Felis_catus,ENSG00000011376_LARS2,0.002006,0.013116,0.15297
